name,type,district,address,area,price,total
复地金融岛,住宅,锦江,锦城大道与科华南路交汇处,待定,价格待定,0
COSMO天廊,住宅,锦江,上沙河铺街66号,42㎡,价格待定,88
蓝润锦江春天,商业类,锦江,成龙路与银杏大道交汇处,54㎡,价格待定,0
恒大都汇华庭,住宅,锦江,镗钯街38号,86㎡,27000,0
绿地468公馆二期,商业,锦江,樱花路999号,待定,30000,0
央湖名邸二期,住宅,锦江,琉璃路123号,90-117㎡,20000,0
恒大望江华府,商业类,锦江,东大路下沙河铺街和大凉山路交界处（塔子山公园旁）,191㎡,26000,0
红星国际,商业类,锦江,庆云南街69号,44-54㎡,18000,0
万达瑞华中心,写字楼,锦江,滨江中路9号,待定,22000,0
银石广场,写字楼,锦江,红星路三段99号 ,待定,25000,0
锦江逸家,底商,锦江,茶花街106号,待定,55000,0
华宇广场,底商,锦江,东大路与静康路交汇处华宇广场,待定,45000,0
锦江逸家,商业,锦江,茶花街106号,待定,42000,0
通用时代国际社区,底商,锦江,汇源南路366号,待定,50000,0
绿地468云玺四期,商业,锦江,锦江区玫瑰街7号,待定,35000,0
华润凯旋天地,底商,锦江,中环锦绣大道菱窠路口华润凯旋天地,待定,45000,0
中粮鸿云,商业,锦江,汇源北路333号,待定,61900,0
东府九座,写字楼,锦江,东府街33号,待定,17000,0
泰合国际财富中心,底商,锦江,东大路1号(地铁2号线牛市口站A出口、二环BRT牛市口站),待定,65000,0
瑞升国际中心,写字楼,锦江,二环路东五段（万达锦华广场对面）,待定,价格待定,0
绿地中心468星朗,商业类,锦江,地铁二号线洪河地铁A1出口,待定,17500,0
俊发星雅俊园,商业,锦江,牡丹街39号,待定,30000,0
蓝润V客东都一期,底商,锦江,银木街679号,待定,28000,0
朗基望今缘,住宅,锦江,龙舟路2号,235-290㎡,1050,0
首开龙湖天璞,商业类,锦江,茶花街与杨树街交汇,待定,价格待定,0
环球汇蔚然,商业类,锦江,东大路246号,待定,20000,0
蓝润V客东都二期,商业类,锦江,银木街675号,23-54㎡,20000,0
俊发星雅俊园,住宅,锦江,牡丹街39号,待定,6800,0
小春熙,商业,锦江,中新街49号,待定,100000,0
新希望锦官阁,商业,锦江,静康路与静沙北路交汇处,待定,55000,0
蓝润V客东都一期,商业,锦江,银木街679号,待定,30000,0
绿地468云玺五期,底商,锦江,玫瑰街10号,待定,44000,0
蓝润V客东都二期,商业,锦江,银木街675号,待定,35000,0
蓝润V客东都二期,底商,锦江,银木街675号,待定,35000,0
仁恒滨河湾,住宅,锦江,汇源东路88号,待定,价格待定,0
泰合国际财富中心,住宅,锦江,东大路1号(地铁2号线牛市口站A出口、二环BRT牛市口站),69㎡,14000,0
摩根中心,写字楼,锦江,锦东路568号,待定,价格待定,0
睿东中心,写字楼,锦江,下东大街段199号,待定,19000,0
